cn_code,sector,tonnes_2022,eur_2022,tonnes_2023,eur_2023,tonnes_2024,eur_2024,avg_tonnes,avg_eur
25070080,Cement,20678.152,9007217.0,15861.982999999998,6853748.0,6487.241,4410229.0,14342.458666666666,6757064.666666667
25231000,Cement,28.701999999999998,44869.0,57.513999999999996,23892.0,5.4399999999999995,15597.0,30.551999999999996,28119.333333333332
25232100,Cement,337.923,284728.0,184.21300000000002,157515.0,176.116,135708.0,232.75066666666666,192650.33333333334
25232900,Cement,55.587,133052.0,233.533,240756.0,188.087,176980.0,159.069,183596.0
25233000,Cement,136.781,167871.0,20.431,34514.0,50.295,81942.0,69.169,94775.66666666667
25239000,Cement,1048.7469999999998,775391.0,344.972,361063.0,519.484,461766.0,637.7343333333333,532740.0
26011200,Iron & Steel,2062848.7170000002,375330875.0,2047966.599,321829492.0,2302766.352,305952437.0,2137860.556,334370934.6666667
28041000,Hydrogen,0.274,11893.0,2.872,64245.0,30.967000000000002,306119.0,11.371,127419.0
28080000,Fertilisers,141.095,668746.0,110.734,521844.0,101.615,793017.0,117.81466666666667,661202.3333333334
28141000,Fertilisers,148564.608,176663750.0,218237.653,119420360.0,140026.217,66316804.0,168942.826,120800304.66666667
