period,flow,sector,hs6,primaryValue,quantity_kg
2019,Import,iron_steel_72,721510,41078741,3501251
2019,Import,iron_steel_72,721550,19234624,12639315
2019,Import,iron_steel_72,721590,6806564,4892487
2019,Import,iron_steel_72,721610,646914,515722
2019,Import,iron_steel_72,721621,146121,82767
2019,Import,iron_steel_72,721622,41639,66000
2019,Import,iron_steel_72,721631,1727724,1310246
2019,Import,iron_steel_72,721632,32129354,54428578
2019,Import,iron_steel_72,721633,31228350,42694016
2019,Import,iron_steel_72,721640,101835,89670
2019,Import,iron_steel_72,721650,16938662,12724374
2019,Import,iron_steel_72,721661,11216544,6313918
2019,Import,iron_steel_72,721669,4125226,646292
2019,Import,iron_steel_72,721691,9629378,4672983
2019,Import,iron_steel_72,721699,939819,420264
2019,Import,iron_steel_72,721710,25244292,14800611
2019,Import,iron_steel_72,721720,15348874,7681945
2019,Import,iron_steel_72,721810,14007611,1471784
2019,Import,iron_steel_72,721911,3468991,982928
2019,Import,iron_steel_72,721931,9663619,2831430
2019,Import,iron_steel_72,722100,54882976,9595296
2019,Import,iron_steel_72,722300,33173682,3546496
2019,Import,iron_steel_72,722410,2422688,455993
2019,Import,iron_steel_72,722511,2658274,1513724
2019,Import,iron_steel_72,722530,236705607,280595957
2019,Import,iron_steel_72,722550,52284389,64573006
2019,Import,iron_steel_73,730110,50590708,51244752
2019,Import,iron_steel_73,730120,4439027,325432
2019,Import,iron_steel_73,730210,20952251,28017826
2019,Import,iron_steel_73,730230,2255235,563309
2019,Import,iron_steel_73,730240,21954,11211
2019,Import,iron_steel_73,730290,478521,179834
2019,Import,iron_steel_73,730300,3761957,2506405
2019,Import,iron_steel_73,730419,135603562,96393595
2019,Import,iron_steel_73,730439,54293730,36554106
2019,Import,iron_steel_73,730511,35447609,26624117
2019,Import,iron_steel_73,730512,173174934,147763891
2019,Import,iron_steel_73,730519,7062593,7036957
2019,Import,iron_steel_73,730520,3284907,2989397
2019,Import,iron_steel_73,730531,4435258,3322944
2019,Import,iron_steel_73,730539,18795,8892
2019,Import,iron_steel_73,730590,337602,151472
2019,Import,iron_steel_73,730619,38461732,34679568
2019,Import,iron_steel_73,730630,44155463,33499410
2019,Import,iron_steel_73,730721,44124166,4219813
2019,Import,iron_steel_73,730791,91902089,40928222
2019,Import,iron_steel_73,730810,196909,126147
2019,Import,iron_steel_73,730820,34645557,13563115
2019,Import,iron_steel_73,730830,46935992,2964961
2019,Import,iron_steel_73,730840,100779723,28339112
